Activity,SheetName,Goal,Type,RuleName,ClauseText,LiteralCount,SectionKeyA,SectionKeyB,SectionKeyC,SectionKeyF,SectionKeyG,SectionKeyH,Status,ErrorMessage
3.5. Manufacture of energy efficiency equipment for buildings,,Substantial Contribution,Product & Project,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Product & Project,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,FAILED,Unexpected token &
3.5. Manufacture of energy efficiency equipment for buildings,,Climate Change Adaptation,Product | Project,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Climate Change Adaptation,Product | Project,(((((ePBN114211_1=0)&ePBN115002_1&ePBN114210_1)|(((ePBN113603_1=0)|(ePBN113603_1&ePBN113601_1&(ePBN113602_1=0))|(ePBN113603_1&ePBN113601_1&ePBN113602_1&ePBN111305_1&(ePBN113604_1=0))|(ePBN113603_1&ePBN113601_1&ePBN113602_1&ePBN111305_1&ePBN113604_1&ePBN113605_1))&ePBN111303_1)&ePBN114211_1)&(ePBN990109_1=0))|ePBN990109_1)&ePBN110911_1,FAILED,Expected RPAREN but got LITERAL
3.5. Manufacture of energy efficiency equipment for buildings,,Water,Project,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Water,Project,((ePBN990111_1|((ePBN990111_1=0)&ePBN992712_1&(ePBN992711_1=0))|((ePBN990111_1=0)&ePBN992712_1&ePBN992711_1&ePBN992708_1&(ePBN992710_1=0))|((ePBN990111_1=0)&ePBN992712_1&ePBN992711_1&ePBN992708_1&ePBN992710_1&ePBN992709_1))&ePBN114211_1)&ePBN110911_1,FAILED,Expected RPAREN but got LPAREN
3.5. Manufacture of energy efficiency equipment for buildings,,Circular Economy,Product,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Circular Economy,Product,((ePBN990113_1|((ePBN990113_1=0)&ePBN114316_1&ePBN114317_1&ePBN115001_1))&(ePBN114211_1=0))&ePBN110911_1,FAILED,Expected RPAREN but got LPAREN
3.5. Manufacture of energy efficiency equipment for buildings,,PollutionPrevention and Control,Product & Project,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,PollutionPrevention and Control,Product & Project,(ePBN990115_1|((ePBN990115_1=0)&ePBN113903_1&(ePBN113904_1=0))|((ePBN990115_1=0)&ePBN113904_1&ePBN113903_1&ePBN113905_1&(ePBN114205_1=0)&ePBN114206_1)|((ePBN990115_1=0)&ePBN113903_1&ePBN113904_1&ePBN113905_1&ePBN114205_1&ePBN113902_1&ePBN114206_1)|((ePBN990115_1=0)&ePBN113903_1&ePBN113904_1&(ePBN113905_1=0)&ePBN113902_1&ePBN114206_1))&ePBN110911_1,FAILED,Expected RPAREN but got LPAREN
3.5. Manufacture of energy efficiency equipment for buildings,,Biodiversity,Project,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Biodiversity,Project,((ePBN990117_1|((ePBN990117_1=0)&ePBN992713_1&(ePBN992714_1=0))|((ePBN990117_1=0)&ePBN992713_1&ePBN992714_1&ePBN992715_1&(ePBN992717_1=0))|((ePBN990117_1=0)&ePBN992713_1&ePBN992714_1&ePBN992717_1&ePBN992715_1&ePBN992716_1&(ePBN992701_1=0)))&ePBN114211_1)&ePBN110911_1,FAILED,Expected RPAREN but got LPAREN
3.5. Manufacture of energy efficiency equipment for buildings,,Portfolio,Product | Project,,,0,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Portfolio,Product | Project,ePBN990097_1&ePBN990103_1&((ePBN114211_1&ePBN990099_1&ePBN990105_1)|((ePBN114211_1=0)&ePBN990101_1)),FAILED,Unexpected token (
