Activity,SheetName,Goal,Type,RuleName,ClauseText,LiteralCount,SectionKeyA,SectionKeyB,SectionKeyC,SectionKeyF,SectionKeyG,SectionKeyH,Status,ErrorMessage
3.19. Manufacture of rail rolling stock constituents,,Substantial Contribution,Product & Project,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,Substantial Contribution,Product & Project,((ePBN115465_1|ePBN115466_1))&(ePBN993843_1<>1)&ePBN115335_1,FAILED,Unexpected token &
3.19. Manufacture of rail rolling stock constituents,,Climate Change Adaptation,Product | Project,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,Climate Change Adaptation,Product | Project,(((((ePBN114211_1=0)&ePBN115002_1&ePBN114210_1)|(((ePBN113603_1=0)|(ePBN113603_1&ePBN113601_1&(ePBN113602_1=0))|(ePBN113603_1&ePBN113601_1&ePBN113602_1&ePBN111305_1&(ePBN113604_1=0))|(ePBN113603_1&ePBN113601_1&ePBN113602_1&ePBN111305_1&ePBN113604_1&ePBN113605_1))&ePBN111303_1)&ePBN114211_1)&(ePBN990201_1=0))|ePBN990201_1)&ePBN115335_1,FAILED,Expected RPAREN but got LITERAL
3.19. Manufacture of rail rolling stock constituents,,Water,Project,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,Water,Project,((ePBN990203_1|((ePBN990203_1=0)&ePBN992712_1&(ePBN992711_1=0))|((ePBN990203_1=0)&ePBN992712_1&ePBN992711_1&ePBN992708_1&(ePBN992710_1=0))|((ePBN990203_1=0)&ePBN992712_1&ePBN992711_1&ePBN992708_1&ePBN992710_1&ePBN992709_1))&ePBN114211_1)&ePBN115335_1,FAILED,Expected RPAREN but got LPAREN
3.19. Manufacture of rail rolling stock constituents,,Circular Economy,Product,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,Circular Economy,Product,((ePBN990205_1|((ePBN990205_1=0)&ePBN114316_1&ePBN114317_1&ePBN115001_1))&(ePBN114211_1=0))&ePBN115335_1,FAILED,Expected RPAREN but got LPAREN
3.19. Manufacture of rail rolling stock constituents,,PollutionPrevention and Control,Product & Project,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,PollutionPrevention and Control,Product & Project,((ePBN990207_1|((ePBN990207_1=0)&ePBN113903_1&(ePBN113904_1=0))|((ePBN990207_1=0)&ePBN113904_1&ePBN113903_1&ePBN113905_1&(ePBN114205_1=0)&ePBN114206_1)|((ePBN990207_1=0)&ePBN113903_1&ePBN113904_1&ePBN113905_1&ePBN114205_1&ePBN113902_1&ePBN114206_1)|((ePBN990207_1=0)&ePBN113903_1&ePBN113904_1&(ePBN113905_1=0)&ePBN113902_1&ePBN114206_1))&(ePBN992801_1|((ePBN992801_1=0)&(ePBN115889_1=0))))&ePBN115335_1,FAILED,Expected RPAREN but got LPAREN
3.19. Manufacture of rail rolling stock constituents,,Biodiversity,Project,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,Biodiversity,Project,((ePBN990209_1|((ePBN990209_1=0)&ePBN992713_1&(ePBN992714_1=0))|((ePBN990209_1=0)&ePBN992713_1&ePBN992714_1&ePBN992715_1&(ePBN992717_1=0))|((ePBN990209_1=0)&ePBN992713_1&ePBN992714_1&ePBN992717_1&ePBN992715_1&ePBN992716_1&(ePBN992701_1=0)))&ePBN114211_1)&ePBN115335_1,FAILED,Expected RPAREN but got LPAREN
3.19. Manufacture of rail rolling stock constituents,,Portfolio,Product | Project,,,0,Climate Change Mitigation,3.19,3.19. Manufacture of rail rolling stock constituents,Portfolio,Product | Project,(ePBN990189_1=1)&(ePBN990195_1=1)&(((ePBN114211_1=1)&(ePBN990197_1=1)&(ePBN990191_1=1))|((ePBN114211_1=0)&(ePBN990193_1=1))),FAILED,Unexpected token &
